[2022-08-13 23:26:05,515][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:53:13,771][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 22:53:14,224][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:53:14,231][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 22:53:14,684][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 22:53:14,688][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 23:22:01,544][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 23:22:02,098][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 23:22:02,106][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 23:22:02,576][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 23:22:02,585][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
[2022-08-14 23:22:03,054][datasets.builder][WARNING] - Using custom data configuration default
[2022-08-14 23:22:03,058][datasets.builder][WARNING] - Reusing dataset xsum (/Users/congliu/.cache/huggingface/datasets/xsum/default/1.2.0/32c23220eadddb1149b16ed2e9430a05293768cfffbdfd151058697d4c11f934)
